행정구역,2012년_총인구수,2013년_총인구수,2014년_총인구수,2015년_총인구수,2016년_총인구수,2017년_총인구수,2018년_총인구수,2019년_총인구수
충청남도 계룡시 (4425000000),"41,550","40,957","40,552","41,730","42,634","43,967","43,731","42,971"
충청남도 당진시 (4427000000),"155,104","159,615","162,844","165,122","166,630","167,439","167,770","167,042"
충청남도 금산군 (4471000000),"55,715","55,441","55,166","54,879","54,612","53,894","53,222","52,257"
충청남도 부여군 (4476000000),"73,259","72,547","71,754","71,143","70,187","69,086","68,078","66,740"
충청남도 서천군 (4477000000),"58,920","58,441","57,713","56,910","56,012","55,175","53,922","52,805"
충청남도 청양군 (4479000000),"32,087","32,155","32,248","32,485","32,753","32,837","32,296","31,717"
충청남도 홍성군 (4480000000),"88,415","89,704","91,866","94,553","99,971","101,570","101,082","100,423"
충청남도 예산군 (4481000000),"85,876","85,205","84,919","83,484","81,339","80,338","80,083","79,238"
충청남도 태안군 (4482500000),"62,548","62,416","62,574","63,484","63,900","63,932","63,238","62,743"
전라북도 전주시 (4511000000),"648,863","650,082","652,877","652,282","651,744","648,964","651,091","654,394"
전라북도 전주시 완산구 (4511100000),"363,986","363,694","364,872","365,605","361,845","359,012","345,065","338,839"
전라북도 전주시 덕진구 (4511300000),"284,877","286,388","288,005","286,677","289,899","289,952","306,026","315,555"
전라북도 군산시 (4513000000),"278,341","278,319","278,098","278,398","277,551","274,997","272,645","270,131"
전라북도 익산시 (4514000000),"306,469","306,539","304,117","302,061","300,479","300,187","294,062","287,771"
전라북도 정읍시 (4518000000),"119,392","118,328","117,183","115,977","115,173","113,776","112,169","110,541"
전라북도 남원시 (4519000000),"87,000","86,460","85,643","84,856","84,188","83,281","82,554","81,441"
전라북도 김제시 (4521000000),"92,317","91,218","90,108","88,721","87,782","86,926","85,331","83,895"
전라북도 완주군 (4571000000),"86,164","86,978","90,377","95,303","95,480","95,975","94,444","92,220"
전라북도 진안군 (4572000000),"26,963","26,703","26,474","26,203","26,069","26,271","25,963","25,697"
전라북도 무주군 (4573000000),"25,321","25,398","25,390","25,220","24,949","24,809","24,589","24,303"
전라북도 장수군 (4574000000),"23,191","23,243","23,335","23,277","23,628","23,003","23,221","22,441"
전라북도 임실군 (4575000000),"29,956","29,739","29,966","30,271","30,197","30,162","30,072","28,902"
전라북도 순창군 (4577000000),"30,055","30,272","30,368","30,248","29,949","29,698","29,209","28,382"
전라북도 고창군 (4579000000),"60,440","60,522","60,090","60,046","60,597","60,472","57,041","55,504"
전라북도 부안군 (4580000000),"58,869","59,164","57,534","56,848","57,005","56,086","54,441","53,295"
전라남도 목포시 (4611000000),"245,073","240,936","239,109","238,382","237,739","234,379","232,327","229,861"
전라남도 여수시 (4613000000),"292,217","291,366","290,900","290,168","288,988","286,382","283,300","282,786"
전라남도 순천시 (4615000000),"273,798","275,668","277,188","278,765","278,548","279,331","279,389","279,598"
전라남도 나주시 (4617000000),"88,067","87,754","90,669","98,182","104,376","110,110","113,839","114,664"
전라남도 광양시 (4623000000),"150,837","151,621","152,097","153,587","155,580","155,857","156,564","156,750"
전라남도 담양군 (4671000000),"47,612","47,365","47,177","47,009","47,229","47,285","46,917","46,535"
전라남도 곡성군 (4672000000),"30,878","31,009","30,732","30,672","30,400","30,131","29,624","28,887"
전라남도 구례군 (4673000000),"27,077","27,115","27,170","27,308","27,412","27,525","27,117","26,563"
전라남도 고흥군 (4677000000),"71,560","70,631","69,641","68,601","67,656","66,736","65,777","64,913"
전라남도 보성군 (4678000000),"47,050","46,385","45,882","45,349","44,469","43,755","42,803","41,420"
전라남도 화순군 (4679000000),"68,378","67,829","66,772","65,848","65,303","64,680","63,933","62,737"
전라남도 장흥군 (4680000000),"42,672","43,004","43,190","43,513","40,669","40,136","39,312","38,563"
전라남도 강진군 (4681000000),"40,241","40,079","39,861","38,758","37,753","36,868","36,144","35,286"
전라남도 해남군 (4682000000),"78,150","77,684","76,981","76,194","75,121","73,604","71,901","70,354"
전라남도 영암군 (4683000000),"59,997","59,061","58,852","58,137","57,045","55,616","54,731","54,593"
전라남도 무안군 (4684000000),"75,741","79,367","81,696","82,236","82,109","82,872","81,991","81,105"
전라남도 함평군 (4686000000),"35,780","35,610","35,090","34,876","34,397","34,328","33,420","32,861"
전라남도 영광군 (4687000000),"57,224","57,617","56,833","56,267","55,618","54,774","54,127","53,852"
전라남도 장성군 (4688000000),"46,289","46,292","46,273","46,360","46,104","46,111","45,795","45,739"
전라남도 완도군 (4689000000),"53,871","53,619","53,174","53,014","52,668","52,109","51,477","50,689"
전라남도 진도군 (4690000000),"33,208","32,998","32,746","32,476","32,078","31,765","31,219","30,715"
전라남도 신안군 (4691000000),"43,898","44,162","43,747","43,294","42,652","42,070","41,263","40,274"
경상북도 포항시 (4711000000),"518,913","519,467","519,368","519,584","516,775","513,832","510,013","507,025"
경상북도 포항시 남구 (4711100000),"251,434","249,709","247,649","246,445","244,748","242,469","239,400","235,633"
경상북도 포항시 북구 (4711300000),"267,479","269,758","271,719","273,139","272,027","271,363","270,613","271,392"
경상북도 경주시 (4713000000),"264,091","263,283","261,535","259,773","259,452","257,903","256,864","255,402"
경상북도 김천시 (4715000000),"135,504","135,259","135,456","140,132","142,256","142,908","141,104","141,229"
경상북도 안동시 (4717000000),"168,302","168,461","168,697","169,221","168,798","166,272","162,180","160,052"
경상북도 구미시 (4719000000),"416,949","419,428","420,320","419,915","419,891","421,799","421,494","419,742"
경상북도 영주시 (4721000000),"113,547","112,625","110,780","109,735","109,247","108,371","106,801","105,067"
경상북도 영천시 (4723000000),"101,798","100,778","100,689","100,648","100,521","100,615","101,595","102,470"
경상북도 상주시 (4725000000),"104,182","103,346","102,892","102,374","101,799","100,947","100,297","100,688"
경상북도 문경시 (4728000000),"75,899","75,664","75,911","75,784","74,702","73,294","71,874","72,242"
경상북도 경산시 (4729000000),"246,358","248,805","253,968","256,888","258,037","259,485","261,093","263,185"
경상북도 군위군 (4772000000),"24,119","24,172","24,170","24,126","24,171","24,215","23,919","23,843"
경상북도 의성군 (4773000000),"57,043","56,064","55,212","54,477","54,014","53,474","52,944","52,595"
경상북도 청송군 (4775000000),"26,481","26,470","26,453","26,384","26,301","26,006","25,678","25,416"
경상북도 영양군 (4776000000),"18,208","18,297","18,197","17,898","17,713","17,479","17,356","16,993"
경상북도 영덕군 (4777000000),"40,257","40,142","39,586","39,191","39,052","38,529","38,108","37,361"
경상북도 청도군 (4782000000),"43,968","43,788","43,993","43,724","43,564","43,346","43,057","42,910"
경상북도 고령군 (4783000000),"35,343","35,198","35,033","34,594","34,257","33,768","32,969","32,373"
경상북도 성주군 (4784000000),"45,127","45,067","44,981","45,029","45,205","45,138","44,672","44,015"
경상북도 칠곡군 (4785000000),"119,786","121,182","122,058","122,829","123,199","120,864","118,828","117,047"
경상북도 예천군 (4790000000),"46,027","45,573","45,104","44,674","46,166","49,253","53,274","55,100"
경상북도 봉화군 (4792000000),"33,934","33,894","34,023","33,808","33,539","33,259","32,843","32,150"
경상북도 울진군 (4793000000),"51,844","51,953","52,104","51,885","51,738","50,974","50,036","49,314"
경상북도 울릉군 (4794000000),"10,673","10,524","10,264","10,153","10,001","9,975","9,832","9,617"
경상남도 창원시 (4812000000),"1,091,471","1,083,731","1,075,168","1,070,064","1,063,907","1,057,032","1,053,601","1,044,740"
경상남도 창원시 의창구 (4812100000),"255,394","255,816","258,250","256,471","252,435","253,349","252,896","258,582"
경상남도 창원시 성산구 (4812300000),"246,801","242,870","238,414","234,399","231,571","227,942","227,337","220,945"
경상남도 창원시 마산합포구 (4812500000),"185,505","183,365","182,223","181,670","181,797","181,917","180,535","177,784"
경상남도 창원시 마산회원구 (4812700000),"221,388","219,558","214,291","211,791","210,791","203,926","199,457","193,807"
경상남도 창원시 진해구 (4812900000),"182,383","182,122","181,990","185,733","187,313","189,898","193,376","193,622"
경상남도 진주시 (4817000000),"337,314","337,071","340,241","344,426","346,739","346,681","345,987","347,334"
경상남도 통영시 (4822000000),"139,347","139,719","139,439","139,168","138,160","135,833","133,720","131,404"
경상남도 사천시 (4824000000),"115,321","116,851","116,485","115,452","114,912","114,252","113,888","111,925"
경상남도 김해시 (4825000000),"513,260","522,049","527,240","528,865","529,422","532,132","533,672","542,455"
경상남도 밀양시 (4827000000),"108,755","108,342","107,765","107,896","108,354","107,898","106,744","105,552"
경상남도 거제시 (4831000000),"236,944","242,077","248,287","255,828","257,183","254,073","250,516","248,276"
경상남도 양산시 (4833000000),"270,460","279,565","292,376","301,291","317,037","338,535","348,639","350,759"
경상남도 의령군 (4872000000),"30,329","29,417","29,209","28,544","28,111","27,849","27,667","27,168"
경상남도 함안군 (4873000000),"67,425","67,667","68,741","69,156","68,937","68,207","67,025","65,700"
경상남도 창녕군 (4874000000),"62,966","63,447","63,502","63,817","63,982","64,101","63,396","62,331"
경상남도 고성군 (4882000000),"56,906","56,369","55,916","55,284","54,703","54,060","53,243","52,276"
경상남도 남해군 (4884000000),"48,223","47,244","46,638","45,865","45,129","44,642","43,990","43,622"
경상남도 하동군 (4885000000),"50,806","50,177","49,223","50,259","49,622","48,831","47,533","46,574"
경상남도 산청군 (4886000000),"35,691","35,935","35,849","36,071","36,098","36,340","35,952","35,417"
경상남도 함양군 (4887000000),"40,714","40,692","40,584","40,339","40,241","40,175","40,044","39,637"
경상남도 거창군 (4888000000),"63,103","63,177","63,137","63,232","63,308","62,763","62,455","62,179"
경상남도 합천군 (4889000000),"50,279","50,290","50,457","49,145","48,026","47,000","45,916","45,204"
제주특별자치도 제주시 (5011000000),"429,656","438,165","448,834","459,876","470,665","478,700","485,946","489,405"
제주특별자치도 서귀포시 (5013000000),"154,057","155,641","158,512","164,519","170,932","178,383","181,245","181,584"
