주야,요일,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,사고피해정도,도시여부,주말/공휴일,인구수,발생지번호,보행자의위치,무단횡단여부
1,3,5,0,0,0,2,127.5281,37.2192,0,0,0,0,22,0,0
1,3,0,0,0,1,5,126.4246,37.8062,0,0,0,0,92,0,0
1,3,2,1,1,0,2,126.978,37.4818,1,0,0,0,93,0,0
1,4,5,0,0,7,2,127.5061,37.2413,0,0,0,0,41,0,0
1,4,0,0,0,4,1,127.0349,37.638,0,0,0,0,98,0,0
1,4,6,1,1,1,7,127.9268,36.9603,0,0,0,0,6,0,0
1,4,3,1,2,4,2,127.0811,36.2093,0,0,0,0,61,0,0
1,5,5,0,0,4,2,129.2321,35.8842,0,0,1,0,100,0,0
1,5,3,0,0,4,2,126.8929,37.4974,0,0,1,0,79,0,0
1,5,6,1,1,3,5,127.1374,35.8229,0,0,1,0,11,0,0
0,5,0,1,1,0,4,127.0887,37.0105,0,0,1,0,14,0,0
0,6,0,0,0,0,11,127.2486,37.4009,1,0,1,0,9,0,0
1,6,0,1,1,0,1,127.0574,38.0292,0,0,1,0,106,0,0
1,6,0,0,0,0,6,126.4944,37.493,1,0,1,0,72,0,0
1,6,6,1,1,4,3,126.2528,33.2283,0,0,1,0,62,0,0
1,6,0,0,0,1,3,126.7824,36.9442,0,0,1,0,46,0,0
0,6,0,0,0,0,3,127.7375,35.5341,1,0,1,0,108,0,0
0,0,6,1,1,0,4,126.8563,37.4881,0,0,0,0,79,0,0
1,0,0,1,1,2,7,126.6956,36.0758,0,0,0,0,10,0,0
1,0,0,0,0,1,4,127.6049,37.0375,0,0,0,0,110,0,0
0,1,2,0,0,0,1,127.1892,37.5514,0,0,0,0,67,0,0
0,1,0,0,0,4,1,127.0369,37.2403,0,0,0,0,50,0,0
0,1,0,0,0,0,1,127.6151,37.8309,0,0,0,0,111,0,0
1,1,5,0,0,0,9,126.7481,34.9442,0,0,0,0,33,0,0
1,1,0,0,0,4,3,127.0373,37.5081,0,0,0,0,89,0,0
1,1,0,0,0,1,1,128.472,37.1862,0,0,0,0,114,0,0
1,1,0,1,1,0,1,127.9967,38.0909,0,0,0,0,115,0,0
0,2,0,1,2,0,4,126.9698,37.2905,0,0,0,0,99,0,0
1,2,0,0,0,8,1,128.5378,35.3709,0,0,0,0,117,0,0
1,2,3,1,2,7,1,127.1986,36.036,0,0,0,0,28,0,0
1,2,7,0,0,1,4,127.9118,37.3613,0,0,0,0,36,0,0
0,2,5,0,0,1,4,128.8217,36.7073,0,0,0,0,66,0,0
1,3,0,1,1,3,4,128.1867,36.3747,0,0,0,0,58,0,0
1,3,0,0,0,1,1,126.5629,34.4182,0,0,0,0,119,0,0
1,3,6,1,2,4,2,128.9908,35.1845,0,0,0,0,120,0,0
1,3,0,0,0,3,7,126.7695,34.6281,0,0,0,0,121,0,0
1,3,0,1,1,1,1,126.6806,35.0896,0,0,0,0,33,0,0
0,3,3,0,0,1,2,129.189,37.4246,2,0,0,0,78,0,0
0,4,0,0,0,0,3,128.4411,35.6506,1,0,0,0,30,0,0
0,4,0,0,0,0,1,128.9263,35.9033,0,0,0,0,5,0,0
0,4,0,0,0,4,1,127.0495,37.6875,0,0,0,0,98,0,0
1,4,0,0,0,1,9,128.1841,38.0749,0,0,0,0,124,0,0
1,4,0,0,0,1,2,128.0883,35.1916,0,0,0,0,42,0,0
1,4,5,0,0,6,2,127.4826,37.1545,0,0,0,0,41,0,0
0,4,2,0,0,0,2,127.0852,36.0561,1,0,0,0,125,0,0
0,5,0,0,0,0,2,127.9119,37.3615,1,0,1,0,36,0,0
1,5,0,0,0,4,1,129.1309,35.2181,0,0,1,0,1,0,0
1,5,0,0,0,0,1,129.0377,36.6759,0,0,1,0,128,0,0
1,5,6,1,1,0,3,126.8871,37.6706,0,0,1,0,40,0,0
0,6,0,0,0,0,3,126.8973,37.3013,0,0,0,0,2,0,0
1,0,0,0,0,1,1,127.7304,36.2035,0,0,0,0,75,0,0
1,0,0,0,0,1,1,127.098,36.2089,0,0,0,0,61,0,0
1,0,0,0,0,1,1,127.107,36.0269,0,0,0,0,125,0,0
1,0,7,1,1,3,11,127.7611,34.9474,0,0,0,0,130,0,0
1,0,0,0,0,0,1,126.6689,37.4543,0,0,0,0,123,0,0
1,0,0,0,0,1,3,128.3024,36.3445,0,0,0,0,105,0,0
1,0,0,0,0,1,1,128.4659,36.5335,0,0,0,0,66,0,0
1,0,0,1,1,9,1,127.1646,35.4104,0,0,0,0,131,0,0
0,0,0,1,2,4,3,125.9297,34.7599,0,0,0,0,132,0,0
1,1,0,0,0,8,1,126.9563,34.5607,0,0,0,0,56,0,0
1,1,0,1,1,0,4,128.6417,34.8648,0,0,0,0,15,0,0
1,1,6,1,1,1,3,128.835,35.2135,0,0,0,0,13,0,0
1,1,0,1,1,8,1,128.186,35.4657,0,0,0,0,133,0,0
0,1,0,0,0,1,1,126.8864,36.1083,0,0,0,0,125,0,0
1,2,0,1,1,0,5,126.5969,36.3502,0,0,0,0,136,0,0
1,2,0,1,1,0,5,127.6032,36.767,0,0,0,0,138,0,0
1,2,0,1,2,1,5,127.1507,36.2324,0,0,0,0,61,0,0
1,2,0,0,0,0,1,128.7429,35.2719,0,0,0,0,13,0,0
1,2,0,0,0,0,1,126.8681,35.9046,0,0,0,0,34,0,0
1,2,0,1,1,0,4,128.4409,36.6499,0,0,0,0,55,0,0
0,3,0,0,0,0,3,127.5952,36.2983,0,0,0,0,142,0,0
1,3,0,0,0,0,1,126.8414,36.3193,0,0,0,0,129,0,0
1,3,0,0,0,2,3,126.3887,36.6741,0,0,0,0,69,0,0
1,3,6,1,1,3,12,126.9745,37.8896,0,0,0,0,59,0,0
0,3,5,0,0,1,4,127.0612,38.0439,0,0,0,0,106,0,0
0,3,6,1,1,0,4,126.8112,37.5061,0,0,0,0,65,0,0
0,3,0,1,2,1,1,128.1462,36.8995,0,0,0,0,103,0,0
1,4,0,0,0,0,5,128.4354,36.0957,0,0,0,0,144,0,0
1,4,0,1,2,4,1,128.1251,36.1315,0,0,0,0,76,0,0
0,5,7,1,1,0,2,127.1351,37.3731,0,0,1,0,95,0,0
1,5,7,1,1,1,4,126.6651,35.2592,0,0,1,0,146,0,0
0,5,0,1,2,4,1,127.3404,35.2955,0,0,1,0,147,0,0
0,5,0,0,0,4,1,127.3027,36.3465,0,0,1,0,148,0,0
0,6,5,0,0,0,6,128.7597,36.8664,1,0,1,0,149,0,0
1,6,6,0,0,0,2,126.898,37.5052,1,0,1,0,150,0,0
1,6,5,0,0,0,2,126.9272,37.4025,1,0,1,0,151,0,0
1,0,0,1,2,7,6,127.4574,36.3074,0,0,1,0,80,0,0
0,0,5,0,0,0,2,127.3435,35.5586,1,0,1,0,152,0,0
0,2,0,0,0,4,1,128.9795,35.0636,0,0,1,0,25,0,0
0,2,6,1,1,4,2,127.1625,36.8213,0,0,1,0,63,0,0
1,2,0,1,2,0,1,128.3664,36.1069,0,0,1,0,144,0,0
1,2,0,0,0,1,1,127.919,35.7202,0,0,1,0,154,0,0
1,2,5,0,0,0,4,126.3108,33.4348,0,0,1,0,90,0,0
0,3,0,0,0,0,3,126.8748,37.369,0,0,0,0,2,0,0
1,3,0,0,0,0,12,128.3525,36.082,0,0,0,0,144,0,0
1,3,0,0,0,4,2,127.7379,35.5218,0,0,0,0,108,0,0
0,3,0,0,0,8,1,126.6099,36.8333,0,0,0,0,46,0,0
0,3,0,0,0,0,1,126.9859,37.7946,0,0,0,0,59,0,0
0,4,0,0,0,0,1,129.4479,35.6504,0,0,0,0,158,0,0
1,4,6,1,1,0,9,126.5445,35.304,0,0,0,0,127,0,0
1,4,0,0,0,0,9,127.6127,36.2721,0,0,0,0,142,0,0
1,4,0,0,0,0,2,126.6664,37.4665,0,0,0,0,123,0,0
0,5,0,0,0,0,1,129.3715,36.0468,0,0,1,0,160,0,0
1,5,0,0,0,0,1,127.0923,37.0629,0,0,1,0,14,0,0
1,5,6,1,1,0,4,128.8672,35.2631,0,0,1,0,13,0,0
0,5,6,1,1,4,2,126.7339,37.4484,1,0,1,0,29,0,0
1,0,0,0,0,0,1,127.442,35.2392,1,0,0,0,161,0,0
